"Bezirk";"Fallzahl";"Differenz";"Inzidenz";"Genesen"
"Charlottenburg-Wilmersdorf";969;0;"282,0";884
"Friedrichshain-Kreuzberg";803;0;"276,5";737
"Lichtenberg";549;0;"186,6";503
"Marzahn-Hellersdorf";541;1;"200,4";511
"Mitte";1456;0;"377,4";1331
"Neukölln";1194;0;"361,9";1092
"Pankow";875;0;"213,8";804
"Reinickendorf";753;5;"282,6";702
"Spandau";545;1;"222,3";495
"Steglitz-Zehlendorf";659;0;"212,5";626
"Tempelhof-Schöneberg";912;3;"259,8";842
"Treptow-Köpenick";441;0;"161,1";409
"Berlin";9697;10;"257,2";8936
